index,standard_l2,classification_rule,annual_gmv_estimated,monthly_gmv_estimated,mom_estimated,cn_share_from_player_rows,player_row_count,cn_player_row_count,top_brands_from_player_rows,source_market_rows,source_market_raw_l2_values
1,功效面部护肤,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),15810009949.269941,1279570593.5640402,-2.8929080930076236,3.2837321722045885,210,13,La Roche-Posay | La Roche-Posay | La Roche-Posay | medicube | medicube | medicube | LAURA GELLER NEW YORK | Neutrogena,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
2,身体/沐浴/除臭,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),10966687665.164528,887580152.7116685,-2.8929080930076343,0.5374708064894123,149,1,CeraVe | CeraVe | CeraVe | Dove | Dove | Dove | Mrs. MEYER‘S | LANEIGE,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
3,彩妆/卸妆,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),2912091426.5204763,235687805.8332673,-2.8929080930076436,5.035850543796181,44,3,L‘Oreal Paris | Clinique | It Cosmetics | MAYBELLINE | tarte | Lancôme | BABE ORIGINAL | REVLON,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
4,香水/香氛,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),280416416.3255421,22695279.853340242,-2.8929080930076383,0,6,0,Sol de Janeiro | Touchland | Victoria‘s Secret | PHLUR | Billie Eilish | Lancôme,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
5,口腔护理,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),9341640078.280163,756058217.4319594,-2.892908093007647,3.0681521207395055,95,5,Oral-B | Oral-B | Oral-B | Philips Sonicare | Philips Sonicare | Philips Sonicare | Crest | Crest,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
6,男士剃须/理容,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),7822839085.193288,633135265.8041164,-2.8929080930076263,3.9347065194808177,99,7,Norelco | Braun | Gillette | Norelco | Norelco | Braun | Gillette | Braun,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
7,女性脱毛/IPL,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),60381007.227487504,4886888.844851011,-2.8929080930076374,0,1,0,Tweezerman,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
8,洗护/头皮/防脱,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),4237431662.6329827,342953164.80763626,-2.8929080930076445,0,59,0,Nutrafol | REDKEN | COLOR WOW | Moroccanoil | Olaplex | L‘Oreal Paris | Amika | OUAI,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
9,造型工具/吹风,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),1765204665.7888813,142865437.10048658,-2.892908093007639,13.601254191601441,19,2,Dyson | Shark | TYMO | wavytalk | Conair | L‘ANGE HAIR | BaBylissPRO | REVLON,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
10,美甲/手足护理,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),1066154599.7081056,86288375.42524935,-2.892908093007647,69.88986211442551,19,12,beetles Gel Polish | modelones | beetles Gel Polish | MelodySusie | OPI | JODSONE | Glamnetic | GAOY,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
11,美容工具/仪器,classifyBeautyByL3(standard_l2/main_l3/brand/brand_product_summary),616525963.0286034,49898038.96338345,-2.892908093007633,7.560831789737615,16,1,grace & stella | MR.SIGA | Good Molecules | Good Molecules | Dr.Althea | Dr.Althea | Dr.Althea | Abib,护肤与个护 | 个人护理 | 皮肤护理 | 头发护理 | 美妆个护综合 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水,个人护理产品 | 沐浴产品 | 化妆 | 沙龙和水疗设备 | 礼品套装 | 美容工具和配件 | 个人护理 | 皮肤护理 | 头发护理 | 口腔护理产品 | 手工美容与仪容 | 剃须和脱毛 | 足部、手部和指甲护理 | 香水
