beauty_standard_l2,brand,company,nationality,cn_flag,standard_l2,main_l3,estimated_gmv,estimated_monthly_gmv,monthly_sales,listing_count,weighted_price,brand_product_summary,source_file
男士剃须/理容,Norelco,,美国,false,护肤与个护,剃须和脱毛产品,444935951.14,29616487.009999998,304299,51,88.46895106023693,男子旋转剃须刀 / 男士电动剃须刀更换头 / 胡须修剪器,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\美容工具和配件\美容工具和配件竞品分析底表-市场大盘v1.xlsx
口腔护理,Oral-B,,美国,false,美妆个护综合,牙刷和配件,340462331.4,17791439.42,799247,196,64.02992858191121,电动牙刷更换刷头 / 旋转动力牙刷 / 手动牙刷,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\口腔护理产品\口腔护理产品竞品分析底表-市场大盘v1.xlsx
功效面部护肤,La Roche-Posay,,美国,false,皮肤护理,面部皮肤护理产品,338925044.85,29610127.1,1024032,68,35.2413912605799,洗面奶 / 面部防晒霜 / 面部保湿霜,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,La Roche-Posay,,美国,false,护肤与个护,皮肤护理产品,335787062.1,29329910.21,1013521,59,35.30320414831913,面部防晒霜 / 面部保湿霜 / 洗面奶,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
功效面部护肤,La Roche-Posay,,美国,false,个人护理,皮肤护理产品,335787062.1,29329910.21,1013521,59,35.30320414831913,面部防晒霜 / 面部保湿霜 / 洗面奶,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
口腔护理,Oral-B,,美国,false,护肤与个护,口腔护理产品,306567104.12,16234121.63,686336,74,66.05336048063722,电动牙刷更换刷头 / 旋转动力牙刷 / 牙线,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
口腔护理,Oral-B,,美国,false,个人护理,口腔护理产品,306567104.12,16234121.63,686336,74,66.05336048063722,电动牙刷更换刷头 / 旋转动力牙刷 / 牙线,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,medicube,,美国,false,护肤与个护,皮肤护理产品,298102320.71,29907103.6,1376650,45,18.47555345399496,面部精华液 / 面膜 / 面部保湿霜,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
身体/沐浴/除臭,CeraVe,,美国,false,皮肤护理,面部皮肤护理产品,286871251.48,18113330.74,1195448,58,16.180794392219,洗面奶 / 面部保湿霜 / 身体乳液,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
口腔护理,Philips Sonicare,,美国,false,护肤与个护,口腔护理产品,278101698.13,18022041.11,367525,35,106.4798894760872,声波牙刷 / 电动牙刷更换刷头 / 电动牙线,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
口腔护理,Philips Sonicare,,美国,false,个人护理,口腔护理产品,278101698.13,18022041.11,367525,35,106.4798894760872,声波牙刷 / 电动牙刷更换刷头 / 电动牙线,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
口腔护理,Philips Sonicare,,美国,false,美妆个护综合,牙刷和配件,271709182.89,19024702.43,386007,56,108.6336244471762,声波牙刷 / 电动牙刷更换刷头 / 电动牙线,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\口腔护理产品\口腔护理产品竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,Braun,,美国,false,护肤与个护,剃须和脱毛产品,271332489.52,20176910.08,98708,59,215.1340959153119,男士箔片剃须刀 / 男士电动剃须刀更换头 / 胡须修剪器,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\美容工具和配件\美容工具和配件竞品分析底表-市场大盘v1.xlsx
洗护/头皮/防脱,Nutrafol,,美国,false,头发护理,脱发产品,270209848.7,21052611.7,278382,24,81.27064492383145,头发再生治疗 / 头发再生洗发水 / 头发再生护发素,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
身体/沐浴/除臭,CeraVe,,美国,false,护肤与个护,皮肤护理产品,269900917.45,17827710.47,1174590,50,16.12357626114735,洗面奶 / 面部保湿霜 / 身体乳液,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
身体/沐浴/除臭,CeraVe,,美国,false,个人护理,皮肤护理产品,269900917.45,17827710.47,1174590,50,16.12357626114735,洗面奶 / 面部保湿霜 / 身体乳液,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,Gillette,,美国,false,护肤与个护,剃须和脱毛产品,260603997.55,22244424.67,504159,47,29.21259646184496,药筒 / 男子子弹剃刀 / 止汗除臭剂,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
功效面部护肤,medicube,,美国,false,皮肤护理,面部皮肤护理产品,242598040.61,25346950.46,1384989,51,18.50209388802348,面部精华液 / 面部保湿霜 / 面膜,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,medicube,,美国,false,个人护理,皮肤护理产品,237436158.91,25175936.26,1376650,45,18.47555345399496,面部精华液 / 面膜 / 面部保湿霜,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
