beauty_standard_l2,product_name,standard_l2,standard_l3,raw_l2,brand,monthly_gmv_usd,monthly_sales,product_count,brand_count,cn_share,growth_rate,representative_players,source_file
功效面部护肤,皮肤护理产品,护肤与个护,皮肤护理产品,个人护理产品,,559882197.54,29405678,2864,882,3.03076474203981,0,La Roche-Posay / medicube / CeraVe,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
功效面部护肤,皮肤护理产品,个人护理,皮肤护理产品,个人护理,,559882197.54,29405678,2864,882,3.096021362379823,0,La Roche-Posay / medicube / CeraVe,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,面部皮肤护理产品,皮肤护理,面部皮肤护理产品,皮肤护理,,322551033.37,15875426,2304,728,3.352651525253429,0,medicube / La Roche-Posay / CLEAN SKIN CLUB,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
口腔护理,口腔护理产品,护肤与个护,口腔护理产品,个人护理产品,,179888105.67,10367741,869,302,8.234621135637646,0,Philips Sonicare / Oral-B / Crest,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
口腔护理,口腔护理产品,个人护理,口腔护理产品,个人护理,,179888105.67,10367741,869,302,7.960940939736787,0,Philips Sonicare / Oral-B / Crest,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
身体/沐浴/除臭,浴室配件,护肤与个护,浴室配件,沐浴产品,,159181367.83,6878993,4009,2074,64.3,0,Kohler / RENPHO / DELTA,Z:\主线任务2-天眼计划\行业专题研究\行研报告\家庭和厨房-行业研究\沐浴产品竞品分析底表-市场大盘v1.xlsx
身体/沐浴/除臭,身体护肤品,皮肤护理,身体护肤品,皮肤护理,,157433058.36,10466750,1346,544,4.408684467101398,0,Dove / Mrs. MEYER‘S / La Roche-Posay,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
洗护/头皮/防脱,洗发水和护发素,头发护理,洗发水和护发素,头发护理,,130841116.36,6014518,1232,352,2.126965534551787,0,REDKEN / Nizoral / OUAI,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,剃须和脱毛产品,护肤与个护,剃须和脱毛产品,美容工具和配件,,129121310.72,5527309,1739,692,18.73025361587655,0,Norelco / Gillette / Braun,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\美容工具和配件\美容工具和配件竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,剃须和脱毛产品,护肤与个护,剃须和脱毛产品,个人护理产品,,106346882.67,4169981,557,215,16.18580468730161,0,Norelco / Gillette / Braun,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\个人护理产品\个人护理产品竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,剃须和脱毛产品,个人护理,剃须和脱毛产品,个人护理,,106346882.67,4169981,557,215,16.18580468730161,0,Norelco / Gillette / Braun,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\个人护理\个人护理竞品分析底表-市场大盘v1.xlsx
造型工具/吹风,造型工具和设备,头发护理,造型工具和设备,头发护理,,97736299.21,2447297,724,300,31.57075718991714,0,TYMO / Dyson / Shark,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,男士剃须和脱毛产品,剃须和脱毛,男士剃须和脱毛产品,剃须和脱毛,,94836668.18,4093267,3321,1339,15.027393226163,0,Norelco / Gillette / Braun,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\剃须和脱毛\剃须和脱毛竞品分析底表-市场大盘v1.xlsx
功效面部护肤,阳光皮肤护理,皮肤护理,阳光皮肤护理,皮肤护理,,90523303.15,4340706,609,230,1.385689967500926,0,EltaMD / La Roche-Posay / Sun Bum,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,眼部化妆,护肤与个护,眼部化妆,化妆,,86688397.23,6615662,1848,619,24.36870484979896,0,MAYBELLINE / BABE ORIGINAL / L‘Oreal Paris,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\化妆\化妆竞品分析底表-市场大盘v1.xlsx
美甲/手足护理,指甲油和装饰产品,足部、手部和指甲护理,指甲油和装饰产品,足部、手部和指甲护理,,81675988.41,7047345,2784,881,62.26021290949444,0,beetles Gel Polish / OPI / modelones,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\足部、手部和指甲护理\足部、手部和指甲护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,发型产品,头发护理,发型产品,头发护理,,80709861.96,4338482,941,278,1.15509029176885,0,COLOR WOW / Moroccanoil / BASED BODYWORKS,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,面部化妆,护肤与个护,面部化妆,化妆,,76346533.6,4174735,1580,473,4.401670975144312,0,LAURA GELLER NEW YORK / e.l.f. / bareMinerals,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\化妆\化妆竞品分析底表-市场大盘v1.xlsx
口腔护理,牙刷和配件,美妆个护综合,牙刷和配件,口腔护理产品,,57890516.82,2541507,1341,537,17.12664423229794,0,Philips Sonicare / Oral-B / Aquasonic,Z:\主线任务2-天眼计划\行业专题研究\行研报告\健康与家庭-行业报告 V2.0\健康与家庭底表（已处理）\口腔护理产品\口腔护理产品竞品分析底表-市场大盘v1.xlsx
功效面部护肤,脱发产品,头发护理,脱发产品,头发护理,,56434132.51,1319975,291,157,3.247438914162907,0,Nutrafol / Rogaine / The Ordinary,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
香水/香氛,女性香水,香水,女性香水,香水,,51160363.8,1504630,2402,593,1.743600306454427,0,Lattafa / Sol de Janeiro / Dossier,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\香水\香水竞品分析底表-市场大盘v1.xlsx
功效面部护肤,眼部护理产品,皮肤护理,眼部护理产品,皮肤护理,,48923099.41,2305494,362,228,8.82526671872607,0,Dr.Melaxin / grace & stella / RoC,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\皮肤护理\皮肤护理竞品分析底表-市场大盘v1.xlsx
功效面部护肤,头发延伸、假发和配件,头发护理,头发延伸、假发和配件,头发护理,,48716779.28,921367,702,515,86.57519362597732,0,GOO GOO / Pizazz / UNICE,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\头发护理\头发护理竞品分析底表-市场大盘v1.xlsx
男士剃须/理容,女性剃须和脱毛产品,剃须和脱毛,女性剃须和脱毛产品,剃须和脱毛,,47462283.78,2447786,1483,658,33.26508170821105,0,Gillette Venus / Braun / Ulike,Z:\主线任务2-天眼计划\行业专题研究\行研报告\美容和个人护理-行业研究\美容和个人护理（已处理）\剃须和脱毛\剃须和脱毛竞品分析底表-市场大盘v1.xlsx
